Fri Aug 11 15:17:42 2023    stats.prof

         14279460 function calls (13935027 primitive calls) in 18.086 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
  240/220    0.009    0.000    1.335    0.006 C:\Users\Sahas\AppData\Local\Programs\Python\Python311\Lib\site-packages\numba\core\lowering.py:741(lower_binop)
        3    0.000    0.000    1.254    0.418 C:\Users\Sahas\AppData\Local\Programs\Python\Python311\Lib\site-packages\numba\np\ufunc\array_exprs.py:354(_lower_array_expr)
    68581    0.062    0.000    1.251    0.000 C:\Users\Sahas\AppData\Local\Programs\Python\Python311\Lib\site-packages\scipy\integrate\_ivp\base.py:192(dense_output)
    19344    0.114    0.000    1.222    0.000 C:\Users\Sahas\AppData\Local\Programs\Python\Python311\Lib\site-packages\scipy\interpolate\_interpolate.py:745(_evaluate)
     2648    0.019    0.000    1.206    0.000 C:\Users\Sahas\AppData\Local\Programs\Python\Python311\Lib\site-packages\numba\core\errors.py:301(_markup)
     2620    0.003    0.000    1.194    0.000 C:\Users\Sahas\AppData\Local\Programs\Python\Python311\Lib\site-packages\numba\core\errors.py:316(errmsg)
    68581    0.286    0.000    1.189    0.000 C:\Users\Sahas\AppData\Local\Programs\Python\Python311\Lib\site-packages\scipy\integrate\_ivp\lsoda.py:167(_dense_output_impl)
     2648    0.002    0.000    1.170    0.000 C:\Users\Sahas\AppData\Local\Programs\Python\Python311\Lib\site-packages\numba\core\errors.py:224(__init__)
     2648    0.008    0.000    1.167    0.000 C:\Users\Sahas\AppData\Roaming\Python\Python311\site-packages\colorama\initialise.py:37(init)
     5296    0.013    0.000    1.159    0.000 C:\Users\Sahas\AppData\Roaming\Python\Python311\site-packages\colorama\initialise.py:111(wrap_stream)
     5296    0.043    0.000    1.144    0.000 C:\Users\Sahas\AppData\Roaming\Python\Python311\site-packages\colorama\ansitowin32.py:81(__init__)
       22    0.000    0.000    1.032    0.047 C:\Users\Sahas\AppData\Local\Programs\Python\Python311\Lib\site-packages\numba\core\base.py:873(compile_internal)
       82    0.153    0.002    1.030    0.013 c:\Users\Sahas\OneDrive\Documents\Cornell Semester 2\Nd LSCO\Modelling\Python code\boltzmann_transport_git\boltzmann_transport\orbitcreation.py:174(<listcomp>)
   370160    0.285    0.000    0.897    0.000 c:\Users\Sahas\OneDrive\Documents\Cornell Semester 2\Nd LSCO\Modelling\Python code\boltzmann_transport_git\boltzmann_transport\orbitcreation.py:137(planeequation)
    19344    0.329    0.000    0.895    0.000 C:\Users\Sahas\AppData\Local\Programs\Python\Python311\Lib\site-packages\scipy\interpolate\_interpolate.py:676(_call_linear)
    60831    0.074    0.000    0.839    0.000 C:\Users\Sahas\AppData\Local\Programs\Python\Python311\Lib\site-packages\scipy\integrate\_ivp\base.py:235(__call__)
1133/1129    0.034    0.000    0.816    0.001 C:\Users\Sahas\AppData\Local\Programs\Python\Python311\Lib\site-packages\numba\core\types\functions.py:281(get_call_type)
        1    0.155    0.155    0.815    0.815 c:\Users\Sahas\OneDrive\Documents\Cornell Semester 2\Nd LSCO\Modelling\Python code\boltzmann_transport_git\boltzmann_transport\conductivity.py:20(createAMatrix)
     5296    0.036    0.000    0.811    0.000 C:\Users\Sahas\AppData\Roaming\Python\Python311\site-packages\colorama\winterm.py:178(enable_vt_processing)
  395/331    0.001    0.000    0.769    0.002 C:\Users\Sahas\AppData\Local\Programs\Python\Python311\Lib\site-packages\numba\core\base.py:1186(__call__)
  395/331    0.001    0.000    0.767    0.002 C:\Users\Sahas\AppData\Local\Programs\Python\Python311\Lib\site-packages\numba\core\base.py:1215(wrapper)
    60831    0.538    0.000    0.750    0.000 C:\Users\Sahas\AppData\Local\Programs\Python\Python311\Lib\site-packages\scipy\integrate\_ivp\lsoda.py:186(_call_impl)
      602    0.003    0.000    0.746    0.001 C:\Users\Sahas\AppData\Local\Programs\Python\Python311\Lib\site-packages\numba\core\typeinfer.py:699(__call__)
        1    0.000    0.000    0.722    0.722 c:\Users\Sahas\OneDrive\Documents\Cornell Semester 2\Nd LSCO\Modelling\Python code\boltzmann_transport_git\boltzmann_transport\orbitcreation.py:294(createOrbitsEQS)
      153    0.180    0.001    0.722    0.005 c:\Users\Sahas\OneDrive\Documents\Cornell Semester 2\Nd LSCO\Modelling\Python code\boltzmann_transport_git\boltzmann_transport\orbitcreation.py:304(appendSingleOrbitEQS)
     1549    0.006    0.000    0.666    0.000 C:\Users\Sahas\AppData\Local\Programs\Python\Python311\Lib\site-packages\numba\core\typing\context.py:374(resolve_value_type)
