Temperature (K),Resistivity (uOhm-cm)
217.110131835937,137.791590471
217.63000793457,138.1530041129
218.149560546875,138.4759313495
218.668872070312,138.86540899149998
219.177172851562,139.2155177499
219.691720581055,139.5738875395
220.192950439453,139.9195898834
220.716818237305,140.2719217695
221.254919433594,140.6458215807
221.767687988281,140.9704958451
222.256784057617,141.3584635132
222.76237487793,141.6881936004
223.282238769531,142.0422725144
223.771786499023,142.3820166368
224.278665161133,142.73221105329998
224.777697753906,143.0776823194
225.276354980469,143.4102909188
225.792108154297,143.78198154659998
226.308935546875,144.1640587229
226.802481079102,144.5062112337
227.314874267578,144.8936091755
227.817526245117,145.220679876
228.31916809082,145.54783424259998
228.8814453125,145.95213871250002
229.399810791016,146.32136318239998
229.900042724609,146.6460095581
230.441418457031,147.057529233
230.961975097656,147.4190165808
231.463912963867,147.7936175936
231.985891723633,148.1698899363
232.518856811523,148.5599691773
233.046810913086,148.92961596179998
233.592828369141,149.313400325
234.099639892578,149.7049218102
234.604086303711,150.0367993273
235.095391845703,150.3953264888
235.625970458984,150.76135969470002
236.143948364258,151.1252693753
236.642068481445,151.4772426925
237.12887878418,151.79773365190002
237.640530395508,152.17344423650002
238.145907592773,152.5799997229
238.676190185547,152.9484652218
239.187313842773,153.29090458780001
239.718991088867,153.6680813212
240.240084838867,154.0545509677
240.738336181641,154.4343133819
241.243823242187,154.795850531
241.757846069336,155.18050542
242.254119873047,155.5310643817
242.794439697266,155.9216834683
243.334048461914,156.2796867207
243.829071044922,156.6592678584
244.346057128906,157.01135273039998
244.870245361328,157.3865493661
245.379745483398,157.76737354300002
245.900338745117,158.1372514053
246.402288818359,158.51585046239998
246.925823974609,158.89887386240002
247.442449951172,159.2365382847
247.947644042969,159.6107886966
248.435836791992,159.95443723699998
248.946661376953,160.3557894888
249.446914672852,160.7003822609
249.947570800781,161.0690350124
250.473596191406,161.4432814403
250.983538818359,161.7966591527
251.506665039063,162.2082465573
252.012954711914,162.565664147
252.536755371094,163.01755470659998
253.064096069336,163.3373544247
253.577642822266,163.7016007617
254.098049926758,164.10271994369998
254.616418457031,164.47582094290001
255.147766113281,164.8895697217
255.652197265625,165.238282053
256.151110839844,165.6006558631
256.667620849609,165.9867629565
257.182006835938,166.34584789209998
257.696112060547,166.74101682079998
258.217694091797,167.1628094974
258.729229736328,167.4985217106
259.263159179687,167.91212307770002
259.804553222656,168.2680585823
260.319311523437,168.697787586
260.806793212891,169.0058780343
261.348461914063,169.408738268
261.869152832031,169.8543638304
262.398217773438,170.23523183240002
262.921704101563,170.6111157254
263.455419921875,171.0123424781
263.94208984375,171.37117840739998
264.477362060547,171.74328935769998
264.973773193359,172.1530261478
265.499737548828,172.43909647590002
266.035534667969,172.7385493956
266.551513671875,173.0932617814
267.079833984375,173.4751457289
267.569311523437,173.8551930063
268.092877197266,174.267941776
268.600354003906,174.5967256395
269.090704345703,174.9636134348
269.598236083984,175.35687198760002
270.131799316406,175.7600270446
270.638269042969,176.1093130864
271.167407226562,176.52520929509998
271.681414794922,176.90062704829998
272.186602783203,177.26860250290002
272.721069335938,177.6872318041
273.223718261719,178.06024714519998
273.75048828125,178.4798724714
274.268597412109,178.8342422246
274.781384277344,179.2900192737
275.287353515625,179.8490681773
275.820202636719,180.2745780191
276.333087158203,180.67622708640002
276.847448730469,181.0836013053
277.357464599609,181.4834137025
277.877252197266,181.8564131071
278.3859375,182.24876726920002
278.897845458984,182.66069133029998
279.429327392578,183.0342006997
279.932452392578,183.41604480610002
280.453247070313,183.8426821482
280.960070800781,184.1992869816
281.459387207031,184.3670972711
281.979553222656,184.71022389430001
282.478057861328,185.0778487481
282.966534423828,185.4390153759
283.464532470703,185.8364213767
284.017395019531,186.2393174673
284.5236328125,186.6436637702
285.030010986328,187.0267429477
285.524438476563,187.3733715948
286.050341796875,187.81033572389998
286.546661376953,188.1587333114
287.063336181641,188.5904703014
287.578198242188,188.9565772131
288.11318359375,189.38577234739998
288.638134765625,189.783289903
289.165222167969,190.1730145592
289.683551025391,190.5534482943
290.177484130859,190.9584041645
290.672406005859,191.3240568888
291.198217773437,191.72930359839998
291.697564697266,192.11288875649998
292.196563720703,192.56263786239998
292.723614501953,192.9393305276
293.218072509766,193.3354775529
293.740167236328,193.7301185883
294.245373535156,194.11342485950001
294.733209228516,194.4678703107
295.225024414062,194.91393014
295.73447265625,195.27374615789998
296.256335449219,195.6780087947
296.794354248047,196.091060356
297.312054443359,196.4857173279
297.820922851563,196.8783463929
298.327435302734,197.28652540000002
298.836840820312,197.6900549625
299.32607421875,198.0909151779
299.793841552734,198.469552084
299.821276855469,198.7631483768
299.884313964844,198.9301937191
299.938000488281,199.0632108638
299.978247070312,199.14097252640002
