LSCO 2601C, x = 22%
T=35 K, B = 45.0 T, theta= -14 to 99, phi = 0
Fixed parameters:
T=0.19,T1multvalue=-0.134,T11multvalue=0.067,mumultvalue=0.805
h_func_val =  strength*np.exp(-(deltak[:,0]**2 + deltak[:,1]**2 + deltak[:,2]**2)/(spread**2))
cost,Tzmultvalue,invtau_iso,strength,spread
0.04371007560492885,0.04360225047762214,5.053180601198112,6.0055792011677855,0.8317291842989127
0.05150179508549289,0.04478247178766908,5.057545461620602,6.006607859637515,0.8932492712876692
0.051504759806386996,0.04478248178766908,5.057545461620602,6.006607859637515,0.8932492712876692
0.05150179277373935,0.04478247178766908,5.057545471620602,6.006607859637515,0.8932492712876692
0.051501787525852695,0.04478247178766908,5.057545461620602,6.006607869637515,0.8932492712876692
0.051501744510135526,0.04478247178766908,5.057545461620602,6.006607859637515,0.8932492812876692
0.042707490006809845,0.04394414985855045,5.054445061569726,6.005877194172142,0.8495509869505322
0.04270777973333795,0.04394415985855045,5.054445061569726,6.005877194172142,0.8495509869505322
0.04270748975952173,0.04394414985855045,5.054445071569726,6.005877194172142,0.8495509869505322
0.04270748924593466,0.04394414985855045,5.054445061569726,6.005877204172142,0.8495509869505322
0.04270748416922978,0.04394414985855045,5.054445061569726,6.005877194172142,0.8495509969505323
0.0436933666649669,0.04456647031130501,5.056774937135344,6.006451392961489,0.8828205544856786
0.043694861065940095,0.044566480311305015,5.056774937135344,6.006451392961489,0.8828205544856786
0.04369336548779833,0.04456647031130501,5.056774947135344,6.006451392961489,0.8828205544856786
0.04369336286156067,0.04456647031130501,5.056774937135344,6.006451402961489,0.8828205544856786
0.043693340493231286,0.04456647031130501,5.056774937135344,6.006451392961489,0.8828205644856787
0.04235325383157763,0.044169723939387485,5.055289577504969,6.00608532547098,0.861610291900849
0.04235382795190938,0.04416973393938749,5.055289577504969,6.00608532547098,0.861610291900849
0.04235325336396115,0.044169723939387485,5.055289587504969,6.00608532547098,0.861610291900849
0.042353252361918184,0.044169723939387485,5.055289577504969,6.00608533547098,0.861610291900849
0.04235324307033829,0.044169723939387485,5.055289577504969,6.00608532547098,0.8616103019008491
0.04181138983183512,0.04435154570464018,5.055988299229778,6.006273251152651,0.871857679491297
0.04181194120823798,0.04435155570464018,5.055988299229778,6.006273251152651,0.871857679491297
0.04181138938488952,0.04435154570464018,5.055988309229778,6.006273251152651,0.871857679491297
0.04181138841112629,0.04435154570464018,5.055988299229778,6.006273261152651,0.871857679491297
0.04181137968391314,0.04435154570464018,5.055988299229778,6.006273251152651,0.871857689491297
0.0406403007637687,0.044666594981685695,5.057230837593096,6.006632697393495,0.8905085712613832
0.04064049861198643,0.0446666049816857,5.057230837593096,6.006632697393495,0.8905085712613832
0.04064030059547655,0.044666594981685695,5.057230847593096,6.006632697393495,0.8905085712613832
0.04064030022375286,0.044666594981685695,5.057230837593096,6.006632707393495,0.8905085712613832
0.040640296983763216,0.044666594981685695,5.057230837593096,6.006632697393495,0.8905085812613832
0.040731117871734945,0.04519399301515252,5.0592841043504695,6.007205353448992,0.9209652108039895
0.04073213654744746,0.04519400301515252,5.0592841043504695,6.007205353448992,0.9209652108039895
0.04073111707888632,0.04519399301515252,5.059284114350469,6.007205353448992,0.9209652108039895
0.040731115211051425,0.04519399301515252,5.0592841043504695,6.007205363448992,0.9209652108039895
0.040731101127907114,0.04519399301515252,5.0592841043504695,6.007205353448992,0.9209652208039896
0.04026018251427383,0.04493345458938331,5.05826977578892,6.006922457234484,0.9059194115838258
0.04026066646437562,0.04493346458938331,5.05826977578892,6.006922457234484,0.9059194115838258
0.04026018212786037,0.04493345458938331,5.05826978578892,6.006922457234484,0.9059194115838258
0.04026018124137984,0.04493345458938331,5.05826977578892,6.006922467234484,0.9059194115838258
0.04026017413577102,0.04493345458938331,5.05826977578892,6.006922457234484,0.9059194215838259
0.03950166943422202,0.045260201101616555,5.059582852260057,6.007321775129116,0.9259608290493903
0.03950212246193088,0.04526021110161656,5.059582852260057,6.007321775129116,0.9259608290493903
0.03950166907559922,0.045260201101616555,5.059582862260057,6.007321775129116,0.9259608290493903
0.03950166822938914,0.045260201101616555,5.059582852260057,6.007321785129116,0.9259608290493903
0.039501661873109384,0.045260201101616555,5.059582852260057,6.007321775129116,0.9259608390493903
0.03888574760750952,0.045435433649812985,5.06033217997608,6.0075854819653225,0.938001637077773
0.03888557291057692,0.04543544364981299,5.06033217997608,6.0075854819653225,0.938001637077773
0.038885747728631175,0.045435433649812985,5.06033218997608,6.0075854819653225,0.938001637077773
0.03888574802998464,0.045435433649812985,5.06033217997608,6.007585491965322,0.938001637077773
0.038885750023252584,0.045435433649812985,5.06033217997608,6.0075854819653225,0.938001647077773
0.04009588931707375,0.0461832780746209,5.063372845762978,6.0085385949360015,0.9848855010559371
0.04009727342907023,0.0461832880746209,5.063372845762978,6.0085385949360015,0.9848855010559371
0.040095888270614215,0.0461832780746209,5.063372855762978,6.0085385949360015,0.9848855010559371
0.04009588559413594,0.0461832780746209,5.063372845762978,6.0085386049360014,0.9848855010559371
0.040095869206397614,0.0461832780746209,5.063372845762978,6.0085385949360015,0.9848855110559371
0.038340097589686636,0.04572712321218103,5.061518162572548,6.007957234559957,0.9562882396280644
0.03834027206263436,0.04572713321218103,5.061518162572548,6.007957234559957,0.9562882396280644
0.03834009744711599,0.04572712321218103,5.061518172572548,6.007957234559957,0.9562882396280644
0.03834009710127253,0.04572712321218103,5.061518162572548,6.0079572445599565,0.9562882396280644
0.03834009467553853,0.04572712321218103,5.061518162572548,6.007957234559957,0.9562882496280645
0.039380800385022896,0.046240057628942496,5.063628494603222,6.008638123844072,0.989154946581805
0.03938200440366939,0.0462400676289425,5.063628494603222,6.008638123844072,0.989154946581805
0.039380799475036095,0.046240057628942496,5.063628504603222,6.008638123844072,0.989154946581805
0.039380797136911505,0.046240057628942496,5.063628494603222,6.008638133844072,0.989154946581805
0.03938078300061538,0.046240057628942496,5.063628494603222,6.008638123844072,0.9891549565818051
0.03821554107893474,0.04586493468662873,5.062085151176194,6.008140170922021,0.9651186265109195
0.038215889091749576,0.04586494468662873,5.062085151176194,6.008140170922021,0.9651186265109195
0.03821554080640369,0.04586493468662873,5.062085161176194,6.008140170922021,0.9651186265109195
0.03821554013087983,0.04586493468662873,5.062085151176194,6.0081401809220205,0.9651186265109195
0.03821553563934612,0.04586493468662873,5.062085151176194,6.008140170922021,0.9651186365109196
0.038007135496856,0.045994875765068444,5.0626330906584265,6.008327274764144,0.9738265244459464
0.03800750309941828,0.045994885765068445,5.0626330906584265,6.008327274764144,0.9738265244459464
0.038007135210777684,0.045994875765068444,5.062633100658426,6.008327274764144,0.9738265244459464
0.038007134493588036,0.045994875765068444,5.0626330906584265,6.008327284764144,0.9738265244459464
0.0380071298640182,0.045994875765068444,5.0626330906584265,6.008327274764144,0.9738265344459465
0.03746659793929072,0.04626672032630526,5.063804275378311,6.008746151239534,0.9927575262613143
0.03746686414499073,0.04626673032630526,5.063804275378311,6.008746151239534,0.9927575262613143
0.037466597731484225,0.04626672032630526,5.0638042853783105,6.008746151239534,0.9927575262613143
0.037466597200401304,0.04626672032630526,5.063804275378311,6.008746161239534,0.9927575262613143
0.03746659394797134,0.04626672032630526,5.063804275378311,6.008746151239534,0.9927575362613144
0.03706698370552182,0.046473074666800014,5.064712840564155,6.009085635771548,1.0076880932784393
0.037067112456660174,0.046473084666800016,5.064712840564155,6.009085635771548,1.0076880932784393
0.03706698360142699,0.046473074666800014,5.064712850564155,6.009085635771548,1.0076880932784393
0.03706698333394169,0.046473074666800014,5.064712840564155,6.009085645771548,1.0076880932784393
0.03706698172567629,0.046473074666800014,5.064712840564155,6.009085635771548,1.0076881032784393
0.03799895717098927,0.047007409406472925,5.067036710710091,6.009933041890488,1.0455245578477845
0.03800006296308169,0.047007419406472926,5.067036710710091,6.009933041890488,1.0455245578477845
0.03799895635050185,0.047007409406472925,5.067036720710091,6.009933041890488,1.0455245578477845
0.03799895411211153,0.047007409406472925,5.067036710710091,6.009933051890488,1.0455245578477845
0.037998942779047834,0.047007409406472925,5.067036710710091,6.009933041890488,1.0455245678477845
0.03692846983869293,0.04662970178444195,5.065394026075236,6.009334032082001,1.0187789244508345
0.03692875621212341,0.04662971178444195,5.065394026075236,6.009334032082001,1.0187789244508345
