LSCO 2601C, x = 22%
T=35 K, B = 45.0 T, theta= -14 to 99, phi = 0
Fixed parameters:
T=0.19,T1multvalue=-0.134,T11multvalue=0.067,mumultvalue=0.805
cost,Tzmultvalue,invtau_iso,strength,spread
0.0011737775289839246,0.09484459993008351,0.10670010702028229,130.00062844787857,1.0892488273739984
0.0011737775290272471,0.09484459993008351,0.10670010702028229,130.00062843787856,1.0892488373739984
0.001172942727438489,0.11016566431163796,0.1066957640436533,130.0006109766826,1.0880143582888933
0.001172942727995759,0.11016565431163797,0.1066957640436533,130.0006109766826,1.0880143582888933
0.001172942727438708,0.11016566431163796,0.1066957740436533,130.0006109766826,1.0880143582888933
0.0011729427274392483,0.11016566431163796,0.1066957640436533,130.0006109866826,1.0880143582888933
0.0011729427274915342,0.11016566431163796,0.1066957640436533,130.0006109766826,1.0880143682888932
0.0011693252534917733,0.17144992183785576,0.10667839213713734,130.00054113189873,1.0830764819484726
0.0011693252540786586,0.17144991183785577,0.10667839213713734,130.00054113189873,1.0830764819484726
0.0011693252534921727,0.17144992183785576,0.10667840213713733,130.00054113189873,1.0830764819484726
0.001169325253493053,0.17144992183785576,0.10667839213713734,130.00054114189874,1.0830764819484726
0.0011693252535847135,0.17144992183785576,0.10667839213713734,130.00054113189873,1.0830764919484726
0.0011747280898763075,0.41658695194272694,0.1066089045110735,130.00026175276327,1.06332497658679
0.0011747280912455078,0.41658694194272694,0.1066089045110735,130.00026175276327,1.06332497658679
0.001174728089876442,0.41658695194272694,0.10660891451107349,130.00026175276327,1.06332497658679
0.0011747280898767444,0.41658695194272694,0.1066089045110735,130.00026176276327,1.06332497658679
0.0011747280899083632,0.41658695194272694,0.1066089045110735,130.00026175276327,1.06332498658679
0.0011678296766253057,0.19706109412007677,0.10667113228104036,130.0005119432153,1.0810129046650452
0.001167829677187214,0.19706108412007678,0.10667113228104036,130.0005119432153,1.0810129046650452
0.0011678296766258279,0.19706109412007677,0.10667114228104035,130.0005119432153,1.0810129046650452
0.0026932912352980115,0.0535,0.1,130.0,0.1
0.0026932916886069215,0.05350001490116119,0.1,130.0,0.1
0.002693291214101207,0.0535,0.1000000149011612,130.0,0.1
0.002693291233292196,0.0535,0.1,130.00000001490116,0.1
0.002693288105051605,0.0535,0.1,130.0,0.1000000149011612
0.0010104474954858683,0.023078954012831672,0.10142249348573387,130.00013460800983,0.31006728039355946
0.0010104474881113513,0.023078968913992866,0.10142249348573387,130.00013460800983,0.31006728039355946
0.001010447495546722,0.023078954012831672,0.10142250838689507,130.00013460800983,0.31006728039355946
0.001010447495515554,0.023078954012831672,0.10142249348573387,130.000134622911,0.31006728039355946
0.0010104475407477975,0.023078954012831672,0.10142249348573387,130.00013460800983,0.31006729529472066
0.001000884620200493,0.02356677576902082,0.10141846811854768,130.0001326443137,0.307073221024238
0.001000884613404317,0.023566790670182015,0.10141846811854768,130.0001326443137,0.307073221024238
0.0010008846202656674,0.02356677576902082,0.10141848301970888,130.0001326443137,0.307073221024238
0.0010008846202313737,0.02356677576902082,0.10141846811854768,130.00013265921487,0.307073221024238
0.0010008846678257917,0.02356677576902082,0.10141846811854768,130.0001326443137,0.3070732359253992
